20000,101,011,00,2b,xx,xx,xx
30000,101,011,01,35,xx,xx,xx
40000,101,011,10,28,xx,xx,xx
50000,101,011,11,00,xx,xx,xx
60000,110,111,00,37,xx,xx,xx
70000,110,111,01,76,xx,xx,xx
80000,110,111,10,00,xx,xx,xx
90000,110,111,11,00,xx,xx,xx
100000,111,010,00,3a,xx,xx,xx
110000,111,010,01,27,xx,xx,xx
120000,111,010,10,1c,xx,xx,xx
130000,111,010,11,00,xx,xx,xx
